instance,k,vars,c,i,b,cons,runtime,memory,nodes,callback,obj,gap
g01, 2, 86, 0, 0, 86, 151, 0.0027399063110351562, 0.001862328, 1, 0, 46.0, 0.0
g01, 5, 86, 0, 0, 86, 151, 0.004893779754638672, 0.001862248, 1, 16, 477.0, 0.0
g02, 4, 175, 0, 0, 175, 303, 0.02200794219970703, 0.002418488, 1, 36, 373.0, 0.0
g02, 10, 175, 0, 0, 175, 303, 0.030270814895629883, 0.002498672, 1, 113, 1390.0, 0.0
g03, 10, 478, 0, 0, 478, 807, 0.04612112045288086, 0.002901696, 1, 96, 725.0, 0.0
g03, 25, 478, 0, 0, 478, 807, 0.0970160961151123, 0.010092328, 1, 401, 3074.0, 0.0
g04, 14, 710, 0, 0, 710, 1183, 0.37477898597717285, 0.030049912, 1, 341, 909.0, 0.0
g04, 35, 710, 0, 0, 710, 1183, 11.780609846115112, 0.116731088, 297, 6381, 3292.0, 0.0
g05, 20, 1100, 0, 0, 1100, 1803, 0.26934099197387695, 0.0114408, 1, 447, 1235.0, 0.0
g05, 50, 1100, 0, 0, 1100, 1803, 0.7487261295318604, 0.026488976, 1, 1578, 4898.0, 0.0
g06, 40, 2797, 0, 0, 2797, 4399, 70.11405110359192, 0.646500024, 278, 13467, 2068.0, 0.0
